pid,day,session,trial,condition,cond_name,match,response,rt,acc
1,1,1,4,4,none,1,1,771.9999999999964,1
1,1,1,5,4,none,1,1,828.9999999999964,1
1,1,1,6,4,none,1,2,811,0
1,1,1,7,4,none,2,2,1041,1
1,1,1,8,4,none,2,2,1419,1
1,1,1,9,4,none,1,1,620,1
1,1,1,10,4,none,2,2,725,1
1,1,1,11,3,both,1,1,737,1
1,1,1,12,3,both,2,2,1525,1
1,1,1,13,3,both,2,2,1071,1
1,1,1,14,3,both,1,1,1386.9999999999927,1
1,1,1,15,3,both,2,1,1308,0
1,1,1,16,3,both,1,1,798,1
1,1,1,17,3,both,2,2,822,1
1,1,1,18,3,both,1,1,709.9999999999927,1
1,1,1,19,3,both,2,2,1124,1
1,1,1,20,3,both,1,1,1210,1
1,1,1,21,4,none,1,1,881,1
1,1,1,22,4,none,2,2,1067,1
1,1,1,23,4,none,1,2,1096,0
1,1,1,24,4,none,1,1,1123,1
1,1,1,25,4,none,2,2,1461,1
1,1,1,26,4,none,2,2,892,1
1,1,1,27,4,none,2,2,991,1
1,1,1,28,4,none,1,1,1928,1
1,1,1,29,4,none,2,2,803.9999999999854,1
1,1,1,30,4,none,1,1,1324,1
1,1,1,31,3,both,2,2,916,1
1,1,1,32,3,both,2,2,749,1
1,1,1,33,3,both,1,1,1185,1
1,1,1,34,3,both,2,1,598,0
1,1,1,35,3,both,1,1,676,1
1,1,1,36,3,both,2,2,916,1
1,1,1,37,3,both,1,1,556,1
1,1,1,38,3,both,1,1,684,1
1,1,1,39,3,both,1,2,1186,0
1,1,1,40,3,both,2,2,950,1
1,1,1,41,1,name,1,2,1453,0
1,1,1,42,1,name,1,1,1285,1
1,1,1,43,1,name,2,2,1192,1
1,1,1,44,1,name,2,2,792,1
1,1,1,45,1,name,2,2,813,1
1,1,1,46,1,name,1,1,1128,1
1,1,1,47,1,name,1,1,792,1
1,1,1,48,1,name,2,2,797,1
1,1,1,49,1,name,1,1,571,1
1,1,1,50,1,name,2,2,818,1
1,1,1,51,2,tie,1,2,830.9999999999709,0
1,1,1,52,2,tie,2,2,790,1
1,1,1,53,2,tie,2,2,739,1
1,1,1,54,2,tie,2,1,555,0
1,1,1,55,2,tie,1,1,714,1
1,1,1,56,2,tie,2,2,775,1
1,1,1,57,2,tie,2,2,600,1
1,1,1,58,2,tie,1,1,1074.999999999971,1
1,1,1,59,2,tie,1,1,732,1
1,1,1,60,2,tie,1,1,615,1
1,1,1,61,1,name,1,1,1316.999999999971,1
1,1,1,62,1,name,2,2,825,1
1,1,1,63,1,name,2,2,924.9999999999709,1
1,1,1,64,1,name,1,1,800,1
1,1,1,65,1,name,1,2,1716,0
1,1,1,66,1,name,2,1,1251,0
1,1,1,67,1,name,1,2,1479,0
1,1,1,68,1,name,2,2,935,1
1,1,1,69,1,name,1,1,1412,1
1,1,1,70,1,name,2,2,724,1
1,1,1,71,2,tie,2,2,1049,1
1,1,1,72,2,tie,1,1,992,1
1,1,1,73,2,tie,1,1,776,1
1,1,1,74,2,tie,2,2,907,1
1,1,1,75,2,tie,2,2,1321,1
1,1,1,76,2,tie,2,2,667,1
1,1,1,77,2,tie,1,1,707,1
1,1,1,78,2,tie,1,1,1041,1
1,1,1,79,2,tie,2,2,934.9999999999709,1
1,1,1,80,2,tie,1,2,1136,0
1,2,1,2,2,tie,2,2,1919,1
1,2,1,3,2,tie,2,2,1757,1
1,2,1,4,2,tie,1,1,1755,1
1,2,1,5,2,tie,1,1,760.9999999999982,1
1,2,1,6,2,tie,1,1,798,1
1,2,1,7,2,tie,1,1,1378.9999999999964,1
1,2,1,8,2,tie,2,2,1021,1
1,2,1,9,2,tie,2,2,1064,1
1,2,1,10,2,tie,1,2,1490,0
1,2,1,11,4,none,2,1,1863,0
1,2,1,12,4,none,2,2,825,1
1,2,1,13,4,none,1,1,1534,1
1,2,1,14,4,none,1,1,558.9999999999927,1
1,2,1,15,4,none,1,2,1800,0
1,2,1,16,4,none,1,1,1423,1
1,2,1,17,4,none,2,2,1052,1
1,2,1,18,4,none,1,2,1227,0
1,2,1,19,4,none,2,2,868,1
1,2,1,20,4,none,2,2,971,1
1,2,1,21,3,both,2,2,998,1
1,2,1,22,3,both,1,1,1863.9999999999927,1
1,2,1,23,3,both,1,1,621,1
1,2,1,24,3,both,2,1,1878,0
1,2,1,25,3,both,1,1,1822,1
1,2,1,26,3,both,2,2,1841,1
1,2,1,27,3,both,1,1,1408,1
1,2,1,28,3,both,2,2,979,1
1,2,1,29,3,both,2,2,1316,1
1,2,1,30,3,both,1,1,904,1
1,2,1,31,1,name,2,2,1434.9999999999854,1
1,2,1,32,1,name,1,1,1289.9999999999854,1
1,2,1,33,1,name,2,2,705,1
1,2,1,34,1,name,1,2,1854,0
1,2,1,35,1,name,1,2,1242,0
1,2,1,36,1,name,2,2,1176,1
1,2,1,37,1,name,1,1,963,1
1,2,1,38,1,name,1,1,1183,1
1,2,1,39,1,name,2,2,1486,1
1,2,1,40,1,name,2,2,1052,1
1,2,1,41,3,both,1,1,1022.9999999999854,1
1,2,1,42,3,both,1,2,840,0
1,2,1,43,3,both,2,2,710,1
1,2,1,44,3,both,2,2,782,1
1,2,1,45,3,both,2,2,726,1
1,2,1,46,3,both,1,2,797.9999999999854,0
1,2,1,47,3,both,1,1,1525.9999999999854,1
1,2,1,48,3,both,1,1,913,1
1,2,1,49,3,both,2,2,1016,1
1,2,1,50,3,both,2,2,747,1
1,2,1,51,4,none,1,1,955,1
1,2,1,53,4,none,1,1,1485,1
1,2,1,54,4,none,1,1,561.9999999999709,1
1,2,1,55,4,none,2,2,980,1
1,2,1,56,4,none,1,1,849,1
1,2,1,57,4,none,2,1,1165.999999999971,0
1,2,1,58,4,none,2,2,1268,1
1,2,1,59,4,none,2,2,1167,1
1,2,1,60,4,none,2,1,1466,0
1,2,1,61,1,name,1,2,2028,0
1,2,1,62,1,name,1,1,1150,1
1,2,1,63,1,name,1,1,1193,1
1,2,1,64,1,name,2,2,1078.999999999971,1
1,2,1,65,1,name,1,1,804,1
1,2,1,66,1,name,2,2,815.9999999999709,1
1,2,1,67,1,name,2,2,874,1
1,2,1,68,1,name,1,1,1107,1
1,2,1,69,1,name,2,2,757,1
1,2,1,70,1,name,2,2,1017,1
1,2,1,71,2,tie,1,1,1065,1
1,2,1,72,2,tie,2,2,1210,1
1,2,1,73,2,tie,2,2,1173.999999999971,1
1,2,1,74,2,tie,2,2,1178,1
1,2,1,75,2,tie,1,2,1763,0
1,2,1,76,2,tie,1,2,1595,0
1,2,1,77,2,tie,2,2,1004.9999999999709,1
1,2,1,78,2,tie,2,1,1468,0
1,2,1,79,2,tie,1,2,760,0
1,2,1,80,2,tie,1,1,1325,1
1,2,2,1,3,both,2,2,1668,1
1,2,2,2,3,both,2,2,686,1
1,2,2,3,3,both,1,1,644,1
1,2,2,4,3,both,2,2,719,1
1,2,2,5,3,both,1,1,945,1
1,2,2,6,3,both,1,1,1275,1
1,2,2,7,3,both,1,1,765,1
1,2,2,8,3,both,1,1,775,1
1,2,2,9,3,both,2,2,896,1
1,2,2,10,3,both,2,2,1304.9999999999964,1
1,2,2,11,4,none,2,1,1373,0
1,2,2,12,4,none,2,2,751,1
1,2,2,13,4,none,1,1,1050,1
1,2,2,14,4,none,1,2,881,0
1,2,2,15,4,none,2,2,777,1
1,2,2,16,4,none,1,1,916,1
1,2,2,17,4,none,1,1,856,1
1,2,2,18,4,none,2,1,1509,0
1,2,2,19,4,none,1,1,646,1
1,2,2,20,4,none,2,2,883,1
1,2,2,21,1,name,1,1,1405.9999999999927,1
