pid,trial,iv1,iv2,condition,period,event
1,1,1,4,4,1,0
1,1,1,4,4,2,0
1,1,1,4,4,3,0
1,1,1,4,4,4,0
1,1,1,4,4,5,0
1,1,1,4,4,6,0
1,1,1,4,4,7,0
1,1,1,4,4,8,1
1,2,1,4,4,1,0
1,2,1,4,4,2,0
1,2,1,4,4,3,0
1,2,1,4,4,4,0
1,2,1,4,4,5,0
1,2,1,4,4,6,0
1,2,1,4,4,7,0
1,2,1,4,4,8,0
1,2,1,4,4,9,1
1,3,1,4,4,1,0
1,3,1,4,4,2,0
1,3,1,4,4,3,0
1,3,1,4,4,4,0
1,3,1,4,4,5,0
1,3,1,4,4,6,0
1,3,1,4,4,7,0
1,3,1,4,4,8,0
1,3,1,4,4,9,1
1,4,1,4,4,1,0
1,4,1,4,4,2,0
1,4,1,4,4,3,0
1,4,1,4,4,4,0
1,4,1,4,4,5,0
1,4,1,4,4,6,0
1,4,1,4,4,7,0
1,4,1,4,4,8,0
1,4,1,4,4,9,0
1,4,1,4,4,10,0
1,4,1,4,4,11,1
1,5,1,4,4,1,0
1,5,1,4,4,2,0
1,5,1,4,4,3,0
1,5,1,4,4,4,0
1,5,1,4,4,5,0
1,5,1,4,4,6,0
1,5,1,4,4,7,0
1,5,1,4,4,8,0
1,5,1,4,4,9,0
1,5,1,4,4,10,0
1,5,1,4,4,11,0
1,5,1,4,4,12,0
1,5,1,4,4,13,0
1,5,1,4,4,14,0
1,5,1,4,4,15,1
1,6,1,4,4,1,0
1,6,1,4,4,2,0
1,6,1,4,4,3,0
1,6,1,4,4,4,0
1,6,1,4,4,5,0
1,6,1,4,4,6,0
1,6,1,4,4,7,1
1,7,1,4,4,1,0
1,7,1,4,4,2,0
1,7,1,4,4,3,0
1,7,1,4,4,4,0
1,7,1,4,4,5,0
1,7,1,4,4,6,0
1,7,1,4,4,7,0
1,7,1,4,4,8,1
1,8,1,3,3,1,0
1,8,1,3,3,2,0
1,8,1,3,3,3,0
1,8,1,3,3,4,0
1,8,1,3,3,5,0
1,8,1,3,3,6,0
1,8,1,3,3,7,0
1,8,1,3,3,8,1
1,9,1,3,3,1,0
